case,event,ts
2,Order imported,2018-09-02 00:02:33
2,Suspicious (Fraud),2018-09-02 00:02:46
2,Order checked,2018-09-03 14:26:03
2,Device hand-out,2018-09-03 14:27:56
2,Ready for payment processing,2018-09-03 14:27:56
2,Documents complete (ERP),2018-09-03 15:50:48
2,Ready to deliver,2018-09-03 16:31:24
2,Delivered,2018-09-04 15:01:13
2,Activated,2018-09-04 15:15:37
2,Printed (ERP),2018-09-04 15:15:37
2,Customer ID transmitted,2018-09-04 17:16:11
2,Invoiced,2018-09-04 22:16:06
2,Return delivery initiated,2018-09-25 08:46:33
2,Processing return delivery,2018-09-25 09:01:13
7,Order imported,2018-09-02 00:07:29
7,Order checked,2018-09-02 00:07:45
7,Device hand-out,2018-09-02 00:11:50
7,Delivery approved,2018-09-02 00:11:50
7,In delivery,2018-09-02 00:11:50
7,Documents complete (ERP),2018-09-02 00:12:55
7,Goods in arrears,2018-09-02 05:05:21
7,Ready to deliver,2018-09-04 16:02:05
7,Delivered,2018-09-05 08:31:44
7,Activated,2018-09-05 08:56:35
7,Printed (ERP),2018-09-05 08:56:35
7,Customer ID transmitted,2018-09-05 10:57:15
7,Invoiced,2018-09-05 23:01:14
8,Export from online shop,2018-09-02 00:01:46
8,Order imported,2018-09-02 00:07:32
8,Order checked,2018-09-02 00:08:24
8,Device hand-out,2018-09-02 00:09:57
8,Delivery approved,2018-09-02 00:09:57
8,In delivery,2018-09-02 00:10:00
8,Documents complete (ERP),2018-09-02 00:11:52
8,Ready to deliver,2018-09-03 00:04:40
8,Delivered,2018-09-03 10:02:52
8,Activated,2018-09-03 11:25:59
8,Printed (ERP),2018-09-03 11:25:59
8,Customer ID transmitted,2018-09-03 13:26:21
8,Invoiced,2018-09-03 23:01:40
20,Export from online shop,2018-09-02 00:17:37
20,Order imported,2018-09-02 00:32:39
20,Suspicious (Fraud),2018-09-02 00:33:35
20,Order checked,2018-09-07 11:10:20
20,Device hand-out,2018-09-07 11:15:02
20,Delivery approved,2018-09-07 11:15:02
20,In delivery,2018-09-07 11:15:04
20,Documents complete (ERP),2018-09-07 11:15:29
